2015,01,10,14,15,10,0613,PROCESS_MODLOAD,628,,\Windows\assembly\NativeImages_v2.0.50727_32\System.Runtime.Remo#\5cae93d923c8378370758489e5535820\System.Runtime.Remoting.ni.dll,,,,,,,
2015,01,10,14,15,10,0613,PROCESS_MODLOAD,628,,\Windows\assembly\GAC_MSIL\System.Windows.Forms\2.0.0.0__b77a5c561934e089\System.Windows.Forms.dll,,,,,,,
2015,01,10,14,15,10,0629,PROCESS_MODLOAD,628,,\Windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80\GdiPlus.dll,,,,,,,
2015,01,10,14,15,10,0629,PROCESS_MODLOAD,628,,\Windows\SysWOW64\apphelp.dll,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\SysWOW64\IMJP14.IME,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\SysWOW64\IMJP14.IME,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\SysWOW64\IMJP14.IME,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\SysWOW64\IMJP14.IME,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742\msvcr90.dll,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742\msvcp90.dll,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\SysWOW64\IMJP14K.DLL,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\SysWOW64\oleaut32.dll,,,,,,,
2015,01,10,14,15,10,0644,PROCESS_MODLOAD,628,,\Windows\SysWOW64\version.dll,,,,,,,
