DATE,TYPE,PID,PARENT,PATH,CMDLINE,SRCIP,SRCPORT,DSTIP,DSTPORT,NETTYPE
02\12\2014-02:42:15:15, PROCESS_MODLOAD,2068,,\Windows\SysWOW64\apphelp.dll,,,,,,
02\12\2014-02:42:15:15, PROCESS_MODLOAD,2068,,\Users\TESTUSER\AppData\Local\Temp\zdttuqbg.exe,,,,,,
02\12\2014-02:42:15:20, PROCESS_MODLOAD,1896,,\Device\HarddiskVolume2\Users\TESTUSER\AppData\Local\Temp\zdttuqbg.exe,,,,,,
02\12\2014-02:42:15:20, PROCESS_MODLOAD,1896,,\SystemRoot\System32\ntdll.dll,,,,,,
02\12\2014-02:42:15:20, PROCESS_MODLOAD,1896,,\SystemRoot\SysWOW64\ntdll.dll,,,,,,
02\12\2014-02:42:15:21, PROCESS_QUIT,2068,,,,,,,,
02\12\2014-02:42:15:23, PROCESS_QUIT,1832,,,,,,,,
02\12\2014-02:42:15:26, PROCESS_MODLOAD,1896,,\Windows\System32\wow64.dll,,,,,,
02\12\2014-02:42:15:26, PROCESS_MODLOAD,1896,,\Windows\System32\wow64win.dll,,,,,,
02\12\2014-02:42:15:26, PROCESS_MODLOAD,1896,,\Windows\System32\wow64cpu.dll,,,,,,
02\12\2014-02:42:15:26, PROCESS_MODLOAD,1896,,\Windows\System32\kernel32.dll,,,,,,
02\12\2014-02:42:15:26, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\kernel32.dll,,,,,,
02\12\2014-02:42:15:26, PROCESS_MODLOAD,1896,,\Windows\System32\kernel32.dll,,,,,,
02\12\2014-02:42:15:26, PROCESS_MODLOAD,1896,,\Windows\System32\user32.dll,,,,,,
02\12\2014-02:42:15:27, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\kernel32.dll,,,,,,
02\12\2014-02:42:15:27, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\KernelBase.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\user32.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\gdi32.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\lpk.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\usp10.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\msvcrt.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\advapi32.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\sechost.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\rpcrt4.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\sspicli.dll,,,,,,
02\12\2014-02:42:15:29, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\cryptbase.dll,,,,,,
02\12\2014-02:42:15:30, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\imm32.dll,,,,,,
02\12\2014-02:42:15:30, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\msctf.dll,,,,,,
02\12\2014-02:42:15:31, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\shell32.dll,,,,,,
02\12\2014-02:42:15:31, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\shlwapi.dll,,,,,,
02\12\2014-02:42:15:31, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\ole32.dll,,,,,,
02\12\2014-02:42:15:31, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\oleaut32.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\userenv.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\profapi.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\wtsapi32.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\urlmon.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\api-ms-win-downlevel-ole32-l1-1-0.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\api-ms-win-downlevel-shlwapi-l1-1-0.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\api-ms-win-downlevel-advapi32-l1-1-0.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\api-ms-win-downlevel-user32-l1-1-0.dll,,,,,,
02\12\2014-02:42:15:32, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\api-ms-win-downlevel-version-l1-1-0.dll,,,,,,
02\12\2014-02:42:15:33, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\version.dll,,,,,,
02\12\2014-02:42:15:33, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\api-ms-win-downlevel-normaliz-l1-1-0.dll,,,,,,
02\12\2014-02:42:15:33, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\normaliz.dll,,,,,,
02\12\2014-02:42:15:33, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\iertutil.dll,,,,,,
02\12\2014-02:42:15:33, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\wininet.dll,,,,,,
02\12\2014-02:42:15:33, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\crypt32.dll,,,,,,
02\12\2014-02:42:15:33, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\msasn1.dll,,,,,,
02\12\2014-02:42:15:36, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\clbcatq.dll,,,,,,
02\12\2014-02:42:15:36, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\wbem\wbemprox.dll,,,,,,
02\12\2014-02:42:15:37, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\wbemcomn.dll,,,,,,
02\12\2014-02:42:15:37, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\ws2_32.dll,,,,,,
02\12\2014-02:42:15:37, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\nsi.dll,,,,,,
02\12\2014-02:42:15:38, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\cryptsp.dll,,,,,,
02\12\2014-02:42:15:43, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\rsaenh.dll,,,,,,
02\12\2014-02:42:15:44, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\RpcRtRemote.dll,,,,,,
02\12\2014-02:42:15:46, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\wbem\wbemsvc.dll,,,,,,
02\12\2014-02:42:15:47, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\wbem\fastprox.dll,,,,,,
02\12\2014-02:42:15:47, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\ntdsapi.dll,,,,,,
02\12\2014-02:42:15:283, PROCESS_MODLOAD,2812,,\Windows\System32\dxgi.dll,,,,,,
02\12\2014-02:42:15:283, PROCESS_MODLOAD,2812,,\Windows\System32\version.dll,,,,,,
02\12\2014-02:42:15:283, PROCESS_MODLOAD,2812,,\Windows\System32\dwmapi.dll,,,,,,
02\12\2014-02:42:15:520, PROCESS_MODLOAD,2812,,\Windows\System32\netapi32.dll,,,,,,
02\12\2014-02:42:15:520, PROCESS_MODLOAD,2812,,\Windows\System32\netutils.dll,,,,,,
02\12\2014-02:42:15:520, PROCESS_MODLOAD,2812,,\Windows\System32\srvcli.dll,,,,,,
02\12\2014-02:42:15:521, PROCESS_MODLOAD,2812,,\Windows\System32\wkscli.dll,,,,,,
02\12\2014-02:42:15:521, PROCESS_MODLOAD,2812,,\Windows\System32\samcli.dll,,,,,,
02\12\2014-02:42:15:521, PROCESS_MODLOAD,2812,,\Windows\System32\logoncli.dll,,,,,,
02\12\2014-02:42:15:522, PROCESS_MODLOAD,2812,,\Windows\System32\browcli.dll,,,,,,
02\12\2014-02:42:15:522, PROCESS_MODLOAD,2812,,\Windows\System32\schedcli.dll,,,,,,
02\12\2014-02:42:15:522, PROCESS_MODLOAD,2812,,\Windows\System32\dsrole.dll,,,,,,
02\12\2014-02:42:15:947, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\kernel32.dll,,,,,,
02\12\2014-02:42:16:383, PROCESS_MODLOAD,1896,,\Windows\SysWOW64\uxtheme.dll,,,,,,
02\12\2014-02:42:16:388, PROCESS_LAUNCH,1808,752,\??\C:\Program Files\Internet Explorer\iexplore.exe,C:\Program Files\Internet Explorer\iexplore.exe -Embedding,,,,,
02\12\2014-02:42:16:389, PROCESS_MODLOAD,1808,,\Device\HarddiskVolume2\Program Files\Internet Explorer\iexplore.exe,,,,,,
02\12\2014-02:42:16:389, PROCESS_MODLOAD,1808,,\SystemRoot\System32\ntdll.dll,,,,,,
02\12\2014-02:42:16:394, PROCESS_MODLOAD,1808,,\Windows\System32\kernel32.dll,,,,,,
02\12\2014-02:42:16:395, PROCESS_MODLOAD,1808,,\Windows\System32\KernelBase.dll,,,,,,
02\12\2014-02:42:16:395, PROCESS_MODLOAD,1808,,\Windows\System32\user32.dll,,,,,,
02\12\2014-02:42:16:395, PROCESS_MODLOAD,1808,,\Windows\System32\gdi32.dll,,,,,,
02\12\2014-02:42:16:395, PROCESS_MODLOAD,1808,,\Windows\System32\lpk.dll,,,,,,
02\12\2014-02:42:16:395, PROCESS_MODLOAD,1808,,\Windows\System32\usp10.dll,,,,,,
02\12\2014-02:42:16:395, PROCESS_MODLOAD,1808,,\Windows\System32\msvcrt.dll,,,,,,
02\12\2014-02:42:16:395, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-advapi32-l1-1-0.dll,,,,,,
02\12\2014-02:42:16:395, PROCESS_MODLOAD,1808,,\Windows\System32\advapi32.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\sechost.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\rpcrt4.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-shell32-l1-1-0.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\shell32.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\shlwapi.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\iertutil.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-version-l1-1-0.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\version.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-user32-l1-1-0.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-normaliz-l1-1-0.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\normaliz.dll,,,,,,
02\12\2014-02:42:16:396, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-shlwapi-l1-1-0.dll,,,,,,
02\12\2014-02:42:16:397, PROCESS_MODLOAD,1808,,\Windows\System32\imm32.dll,,,,,,
02\12\2014-02:42:16:397, PROCESS_MODLOAD,1808,,\Windows\System32\msctf.dll,,,,,,
02\12\2014-02:42:16:398, PROCESS_MODLOAD,1808,,\Windows\System32\cryptbase.dll,,,,,,
02\12\2014-02:42:16:398, PROCESS_MODLOAD,1808,,\Windows\System32\ieframe.dll,,,,,,
02\12\2014-02:42:16:399, PROCESS_MODLOAD,1808,,\Windows\System32\ole32.dll,,,,,,
02\12\2014-02:42:16:399, PROCESS_MODLOAD,1808,,\Windows\System32\oleaut32.dll,,,,,,
02\12\2014-02:42:16:399, PROCESS_MODLOAD,1808,,\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac\comctl32.dll,,,,,,
02\12\2014-02:42:16:400, PROCESS_MODLOAD,1808,,\Program Files\Internet Explorer\IEShims.dll,,,,,,
02\12\2014-02:42:16:400, PROCESS_MODLOAD,1808,,\Windows\System32\comdlg32.dll,,,,,,
02\12\2014-02:42:16:401, PROCESS_MODLOAD,1808,,\Windows\System32\uxtheme.dll,,,,,,
02\12\2014-02:42:16:402, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-ole32-l1-1-0.dll,,,,,,
02\12\2014-02:42:16:403, PROCESS_MODLOAD,1808,,\Windows\System32\urlmon.dll,,,,,,
02\12\2014-02:42:16:403, PROCESS_MODLOAD,1808,,\Windows\System32\wininet.dll,,,,,,
02\12\2014-02:42:16:404, PROCESS_MODLOAD,1808,,\Windows\System32\dwmapi.dll,,,,,,
02\12\2014-02:42:16:404, PROCESS_MODLOAD,1808,,\Program Files\Internet Explorer\sqmapi.dll,,,,,,
